ntips	nhidden	rep	mean_time	median_time	method
1024	5	4	210.6387259	205.1638155	tensorphylo
1024	5	4	566.9530881	551.7947895	hisse
32	6	4	8.069784	8.0623425	tensorphylo
32	6	4	34.8279543	35.066603	hisse
64	6	4	15.1572941	14.982876	tensorphylo
64	6	4	52.9148583	50.4177	hisse
128	6	4	29.5535749	29.3583985	tensorphylo
128	6	4	85.58258	86.526277	hisse
256	6	4	60.6737311	60.780655	tensorphylo
256	6	4	135.8866075	134.517351	hisse
512	6	4	126.7862393	125.668198	tensorphylo
512	6	4	316.4168686	311.0473405	hisse
1024	6	4	236.2808065	231.2829065	tensorphylo
1024	6	4	559.5653883	541.642021	hisse
32	7	4	8.4502722	8.409223	tensorphylo
32	7	4	30.1035448	30.1040655	hisse
64	7	4	16.5160751	16.529478	tensorphylo
64	7	4	52.5028493	53.2347895	hisse
128	7	4	29.008197	28.7501635	tensorphylo
128	7	4	90.3713636	91.6547415	hisse
256	7	4	64.1054434	64.159793	tensorphylo
256	7	4	149.6140512	145.359596	hisse
512	7	4	132.4927874	131.467525	tensorphylo
512	7	4	281.3222339	291.0542235	hisse
1024	7	4	260.6392181	256.1355075	tensorphylo
1024	7	4	548.7334015	536.5900215	hisse
32	8	4	9.3376557	9.265303	tensorphylo
32	8	4	33.4990746	34.8348505	hisse
64	8	4	18.9140257	19.087837	tensorphylo
64	8	4	53.0180389	51.3424345	hisse
128	8	4	35.0454142	35.291447	tensorphylo
128	8	4	79.3699525	76.124044	hisse
256	8	4	75.3792585	75.3840145	tensorphylo
256	8	4	155.5346111	156.6267855	hisse
512	8	4	157.53594	156.745747	tensorphylo
512	8	4	276.5064026	273.022444	hisse
1024	8	4	303.8058959	300.2278505	tensorphylo
1024	8	4	550.1860479	551.0453505	hisse
32	9	4	10.3687073	10.3279615	tensorphylo
32	9	4	45.5275152	36.0497215	hisse
64	9	4	18.3206573	18.332576	tensorphylo
64	9	4	50.6818097	50.4273555	hisse
128	9	4	41.9959761	41.974488	tensorphylo
128	9	4	88.4195791	86.88761	hisse
256	9	4	75.3189639	75.17883	tensorphylo
256	9	4	142.318462	136.5524475	hisse
512	9	4	165.986983	165.2684375	tensorphylo
512	9	4	276.3451045	267.1868935	hisse
1024	9	4	343.1753341	338.437165	tensorphylo
1024	9	4	554.0045788	552.5188085	hisse
32	0	5	2.8433336	2.7973275	tensorphylo
32	0	5	19.3100324	18.2504735	hisse
64	0	5	3.9838306	3.9326175	tensorphylo
64	0	5	38.9294262	39.375457	hisse
128	0	5	8.9141954	8.791138	tensorphylo
128	0	5	70.0628582	69.194347	hisse
256	0	5	17.5703368	17.361327	tensorphylo
256	0	5	108.227905	107.4504015	hisse
512	0	5	31.4669629	29.9061995	tensorphylo
512	0	5	183.2525832	173.0579045	hisse
1024	0	5	70.9092253	64.884345	tensorphylo
1024	0	5	376.9744016	361.6529025	hisse
32	1	5	3.3651734	3.282993	tensorphylo
32	1	5	31.9325712	30.921749	hisse
64	1	5	5.5452869	5.4512165	tensorphylo
64	1	5	49.4299239	48.0679695	hisse
128	1	5	12.0595227	12.1199895	tensorphylo
128	1	5	102.7625189	92.3912245	hisse
256	1	5	26.3347346	25.9460505	tensorphylo
256	1	5	151.3076751	151.2950225	hisse
512	1	5	45.4821774	43.7839205	tensorphylo
512	1	5	295.1429895	291.134112	hisse
1024	1	5	100.5302329	94.0997765	tensorphylo
1024	1	5	545.9791568	504.1131015	hisse
32	2	5	3.8341109	3.7828855	tensorphylo
32	2	5	37.1818135	36.864904	hisse
64	2	5	6.9994626	7.017478	tensorphylo
64	2	5	50.6077555	49.7851315	hisse
128	2	5	13.2717779	13.170717	tensorphylo
128	2	5	84.8210255	86.0487295	hisse
256	2	5	31.6841358	31.261557	tensorphylo
256	2	5	162.1179852	162.309447	hisse
512	2	5	63.2605564	62.226233	tensorphylo
512	2	5	279.5209686	259.124346	hisse
1024	2	5	136.9152729	130.6607065	tensorphylo
1024	2	5	574.6827074	574.7054665	hisse
32	3	5	5.8886004	5.814128	tensorphylo
32	3	5	35.5227936	34.6319415	hisse
64	3	5	8.6448787	8.5825915	tensorphylo
64	3	5	46.2690986	45.107544	hisse
128	3	5	18.4085818	18.1673255	tensorphylo
128	3	5	99.9116823	88.319084	hisse
256	3	5	36.8591107	36.5996955	tensorphylo
256	3	5	144.134352	143.904793	hisse
512	3	5	69.6524933	69.1537365	tensorphylo
512	3	5	278.1565911	269.255487	hisse
1024	3	5	156.001515	149.4214865	tensorphylo
1024	3	5	533.4416725	523.724324	hisse
32	4	5	6.575088	6.5580935	tensorphylo
32	4	5	35.2810371	36.283032	hisse
64	4	5	12.3613565	12.320705	tensorphylo
64	4	5	57.6909032	58.6392045	hisse
128	4	5	22.9489054	22.7802765	tensorphylo
128	4	5	90.5616364	90.172817	hisse
256	4	5	46.4966281	46.094537	tensorphylo
256	4	5	163.2460182	157.211384	hisse
512	4	5	91.4477899	90.10734	tensorphylo
512	4	5	293.681729	304.7577355	hisse
1024	4	5	187.6107971	183.1141385	tensorphylo
1024	4	5	534.1025023	511.8414785	hisse
32	5	5	5.905681	5.9080385	tensorphylo
32	5	5	32.9926836	32.1311465	hisse
64	5	5	13.9383518	13.7188255	tensorphylo
64	5	5	53.2426943	52.392752	hisse
128	5	5	28.2803035	28.2343015	tensorphylo
128	5	5	103.3120337	103.2700825	hisse
256	5	5	48.5207038	48.3576345	tensorphylo
256	5	5	162.0784981	164.1452835	hisse
512	5	5	104.0087262	102.164825	tensorphylo
512	5	5	297.3013238	293.7343115	hisse
1024	5	5	212.5463042	205.168305	tensorphylo
1024	5	5	569.1169164	556.0759275	hisse
32	6	5	8.8326956	8.808727	tensorphylo
32	6	5	34.4891057	34.1942665	hisse
64	6	5	15.0886232	14.837695	tensorphylo
64	6	5	49.3581575	48.329406	hisse
128	6	5	30.49744	30.3567075	tensorphylo
