ntips	nstates	ncores	rep	mean_time	median_time	method
512	128	2	3	454.619521	451.2875535	tensorphylo
512	128	3	3	313.9578403	313.1674505	tensorphylo
512	128	4	3	252.6958166	251.8986085	tensorphylo
1024	2	1	3	26.9067338	23.724158	tensorphylo
1024	2	2	3	22.0276518	19.037284	tensorphylo
1024	2	3	3	19.3667928	15.8350815	tensorphylo
1024	2	4	3	73.2823217	47.0704805	tensorphylo
1024	4	1	3	35.397678	31.626006	tensorphylo
1024	4	2	3	31.7628763	21.207824	tensorphylo
1024	4	3	3	21.3674042	18.300719	tensorphylo
1024	4	4	3	20.3157624	16.930089	tensorphylo
1024	8	1	3	59.2025732	56.0776475	tensorphylo
1024	8	2	3	33.9373564	30.849917	tensorphylo
1024	8	3	3	27.3444416	24.2563175	tensorphylo
1024	8	4	3	23.1456029	20.015298	tensorphylo
1024	16	1	3	93.9804173	90.6071505	tensorphylo
1024	16	2	3	57.7269053	54.5311275	tensorphylo
1024	16	3	3	43.8963589	40.101075	tensorphylo
1024	16	4	3	33.0022776	30.0617125	tensorphylo
1024	32	1	3	202.8459174	199.388535	tensorphylo
1024	32	2	3	103.0676122	98.83624	tensorphylo
1024	32	3	3	73.3937761	70.216436	tensorphylo
1024	32	4	3	62.9181162	59.0093525	tensorphylo
1024	64	1	3	574.4639027	567.742703	tensorphylo
1024	64	2	3	347.6265688	344.7504065	tensorphylo
1024	64	3	3	231.9166066	228.8090895	tensorphylo
1024	64	4	3	185.034476	182.108716	tensorphylo
1024	128	1	3	1787.7679852	1783.508856	tensorphylo
1024	128	2	3	981.4234247	975.337397	tensorphylo
1024	128	3	3	646.1529767	641.418022	tensorphylo
1024	128	4	3	499.8148788	496.851202	tensorphylo
32	2	1	4	0.8190283	0.775228	tensorphylo
32	2	2	4	1.8864551	1.864598	tensorphylo
32	2	3	4	1.9330926	1.9262825	tensorphylo
32	2	4	4	1.932904	1.8265705	tensorphylo
32	4	1	4	0.985927	0.9637665	tensorphylo
32	4	2	4	1.596089	1.5658105	tensorphylo
32	4	3	4	1.7186052	1.711914	tensorphylo
32	4	4	4	1.5752036	1.333853	tensorphylo
32	8	1	4	1.9243801	1.903056	tensorphylo
32	8	2	4	1.7095032	1.6847925	tensorphylo
32	8	3	4	2.1035214	2.0904875	tensorphylo
32	8	4	4	1.7466451	1.637827	tensorphylo
32	16	1	4	3.4244348	3.395456	tensorphylo
32	16	2	4	2.9918479	2.9717005	tensorphylo
32	16	3	4	2.1480556	2.139093	tensorphylo
32	16	4	4	2.0650347	2.0427635	tensorphylo
32	32	1	4	4.7534785	4.7246965	tensorphylo
32	32	2	4	5.086214	5.0590515	tensorphylo
32	32	3	4	4.8358557	4.8218665	tensorphylo
