ntips	nstates	ncores	rep	mean_time	median_time	method
1024	2	3	2	25.7351875	23.72055	tensorphylo
1024	2	4	2	50.2317199	47.1468225	tensorphylo
1024	4	1	2	20.7298665	17.4941465	tensorphylo
1024	4	2	2	19.4123233	16.249407	tensorphylo
1024	4	3	2	19.6593524	16.6343355	tensorphylo
1024	4	4	2	21.1542329	17.9025065	tensorphylo
1024	8	1	2	21.8609786	18.685053	tensorphylo
1024	8	2	2	19.9831991	16.7838625	tensorphylo
1024	8	3	2	20.2296542	17.146446	tensorphylo
1024	8	4	2	23.4603599	18.2875375	tensorphylo
1024	16	1	2	26.8334381	23.656016	tensorphylo
1024	16	2	2	21.75378	18.561889	tensorphylo
1024	16	3	2	21.4960048	18.3791315	tensorphylo
1024	16	4	2	23.0851607	20.2822695	tensorphylo
1024	32	1	2	30.8261821	27.6821955	tensorphylo
1024	32	2	2	24.7219053	21.529018	tensorphylo
1024	32	3	2	23.6958352	20.7581155	tensorphylo
1024	32	4	2	36.7495546	34.74791	tensorphylo
32	2	1	3	0.5238734	0.4958335	tensorphylo
32	2	2	3	1.8629211	1.8391575	tensorphylo
32	2	3	3	2.1194376	2.027983	tensorphylo
32	2	4	3	2.3835391	2.608502	tensorphylo
32	4	1	3	0.4899049	0.464407	tensorphylo
32	4	2	3	1.5318297	1.4987755	tensorphylo
32	4	3	3	1.6837019	1.5986515	tensorphylo
32	4	4	3	2.4926934	2.314491	tensorphylo
32	8	1	3	0.637714	0.612663	tensorphylo
32	8	2	3	1.87206	1.84992	tensorphylo
32	8	3	3	1.8404654	1.7614215	tensorphylo
32	8	4	3	3.0491659	2.915756	tensorphylo
32	16	1	3	0.9744224	0.9492115	tensorphylo
32	16	2	3	1.8165542	1.796538	tensorphylo
32	16	3	3	2.1167521	1.957012	tensorphylo
32	16	4	3	1.742008	1.4262875	tensorphylo
32	32	1	3	0.8752229	0.845543	tensorphylo
32	32	2	3	2.1051942	2.081693	tensorphylo
32	32	3	3	1.6911885	1.6738045	tensorphylo
32	32	4	3	2.5364568	2.7869545	tensorphylo
64	2	1	3	1.1440353	1.1039865	tensorphylo
64	2	2	3	3.4639383	3.428133	tensorphylo
64	2	3	3	5.7883144	5.310812	tensorphylo
64	2	4	3	2.1943036	1.253657	tensorphylo
64	4	1	3	1.1324241	1.0876275	tensorphylo
64	4	2	3	1.1435556	0.9455215	tensorphylo
64	4	3	3	1.1963964	1.1105055	tensorphylo
64	4	4	3	1.4778204	1.318191	tensorphylo
64	8	1	3	1.3235907	1.280553	tensorphylo
64	8	2	3	1.4956144	1.297814	tensorphylo
64	8	3	3	1.3181582	1.1374425	tensorphylo
64	8	4	3	1.5407267	1.2633125	tensorphylo
64	16	1	3	1.5524773	1.508677	tensorphylo
64	16	2	3	1.4048322	1.2153835	tensorphylo
64	16	3	3	1.6921233	1.4552335	tensorphylo
64	16	4	3	2.3707184	1.9065615	tensorphylo
64	32	1	3	2.0172738	1.9748265	tensorphylo
64	32	2	3	1.3691253	1.237954	tensorphylo
64	32	3	3	1.3849759	1.3306345	tensorphylo
64	32	4	3	1.8619453	1.356608	tensorphylo
128	2	1	3	2.3093086	2.2249265	tensorphylo
128	2	2	3	2.3308008	2.081078	tensorphylo
128	2	3	3	2.3723502	2.158773	tensorphylo
128	2	4	3	3.4690141	2.280912	tensorphylo
128	4	1	3	2.3863066	2.294442	tensorphylo
128	4	2	3	2.2301868	1.9898735	tensorphylo
128	4	3	3	2.5052681	2.290834	tensorphylo
128	4	4	3	8.7166943	8.5092425	tensorphylo
128	8	1	3	2.4887697	2.405962	tensorphylo
128	8	2	3	6.6001062	6.5067	tensorphylo
128	8	3	3	6.4481479	6.3122985	tensorphylo
128	8	4	3	11.0814103	11.8277005	tensorphylo
128	16	1	3	3.2361792	3.1491485	tensorphylo
128	16	2	3	6.7989152	6.7047915	tensorphylo
128	16	3	3	6.7655453	6.650118	tensorphylo
128	16	4	3	12.5345118	12.498112	tensorphylo
128	32	1	3	3.5953433	3.5141715	tensorphylo
128	32	2	3	6.8829734	6.809198	tensorphylo
128	32	3	3	7.2904191	7.1489855	tensorphylo
128	32	4	3	11.3484187	12.0907565	tensorphylo
256	2	1	3	4.205165	3.969415	tensorphylo
256	2	2	3	13.4404519	13.0685655	tensorphylo
256	2	3	3	15.0605136	14.7733455	tensorphylo
256	2	4	3	17.3598715	18.2409205	tensorphylo
256	4	1	3	4.5500201	4.3111705	tensorphylo
256	4	2	3	12.3876129	12.196475	tensorphylo
256	4	3	3	13.3942039	13.1183805	tensorphylo
256	4	4	3	13.8591644	11.562041	tensorphylo
256	8	1	3	4.7917315	4.5584415	tensorphylo
256	8	2	3	13.7580625	13.399456	tensorphylo
256	8	3	3	14.0826062	13.657592	tensorphylo
256	8	4	3	13.140172	12.5170745	tensorphylo
256	16	1	3	5.871651	5.631842	tensorphylo
256	16	2	3	13.0322067	12.7794335	tensorphylo
256	16	3	3	14.3816397	14.0751565	tensorphylo
256	16	4	3	12.2982247	12.014886	tensorphylo
256	32	1	3	7.3451951	7.1051155	tensorphylo
256	32	2	3	14.845116	14.638189	tensorphylo
256	32	3	3	11.5437222	4.86793	tensorphylo
256	32	4	3	5.6609725	5.348368	tensorphylo
512	2	1	3	9.3979831	8.6743495	tensorphylo
512	2	2	3	8.2828651	7.329201	tensorphylo
512	2	3	3	9.7558065	8.85641	tensorphylo
512	2	4	3	10.4172923	9.242343	tensorphylo
512	4	1	3	9.5399497	8.8099365	tensorphylo
512	4	2	3	8.5926201	7.7977695	tensorphylo
512	4	3	3	9.4095205	8.4746795	tensorphylo
512	4	4	3	20.4533707	13.8544945	tensorphylo
512	8	1	3	10.3464074	9.370591	tensorphylo
512	8	2	3	9.3750559	8.4180995	tensorphylo
512	8	3	3	9.458987	8.5311365	tensorphylo
512	8	4	3	10.1282136	9.089823	tensorphylo
512	16	1	3	12.5387348	11.6673495	tensorphylo
512	16	2	3	9.788135	8.978508	tensorphylo
512	16	3	3	9.8330382	9.040254	tensorphylo
512	16	4	3	11.1062809	9.773908	tensorphylo
512	32	1	3	15.060858	14.05521	tensorphylo
512	32	2	3	11.6833723	10.7578055	tensorphylo
512	32	3	3	10.974429	10.1897915	tensorphylo
512	32	4	3	11.4693892	10.358609	tensorphylo
1024	2	1	3	19.5866676	16.243462	tensorphylo
1024	2	2	3	17.7518315	14.5165625	tensorphylo
1024	2	3	3	20.3133803	17.12119	tensorphylo
1024	2	4	3	32.9218889	18.5123815	tensorphylo
1024	4	1	3	19.8324708	16.7708655	tensorphylo
1024	4	2	3	18.4000825	15.252943	tensorphylo
1024	4	3	3	19.7023163	16.695036	tensorphylo
1024	4	4	3	21.5177717	18.3845845	tensorphylo
1024	8	1	3	22.3470582	19.14618	tensorphylo
1024	8	2	3	20.0400784	16.758094	tensorphylo
1024	8	3	3	19.6843993	16.6623795	tensorphylo
1024	8	4	3	22.7255784	18.9320575	tensorphylo
1024	16	1	3	26.8586818	23.6008505	tensorphylo
1024	16	2	3	21.9731792	18.745569	tensorphylo
1024	16	3	3	20.9378882	17.8956185	tensorphylo
1024	16	4	3	32.6168776	18.633721	tensorphylo
1024	32	1	3	31.0742895	27.960934	tensorphylo
1024	32	2	3	50.1239719	57.928203	tensorphylo
1024	32	3	3	58.6274252	55.4299705	tensorphylo
1024	32	4	3	54.7360537	51.9892095	tensorphylo
32	2	1	4	0.4839845	0.457806	tensorphylo
32	2	2	4	1.517738	1.4923795	tensorphylo
32	2	3	4	1.9650111	1.802442	tensorphylo
32	2	4	4	2.5208891	2.4946655	tensorphylo
32	4	1	4	0.5221719	0.4998925	tensorphylo
32	4	2	4	1.496664	1.467144	tensorphylo
32	4	3	4	2.0093608	1.998258	tensorphylo
32	4	4	4	2.0637719	1.7207905	tensorphylo
32	8	1	4	0.6519246	0.6261315	tensorphylo
32	8	2	4	1.9441708	1.920727	tensorphylo
32	8	3	4	1.7225699	1.6276385	tensorphylo
32	8	4	4	1.9025517	1.8806495	tensorphylo
32	16	1	4	0.7560359	0.737139	tensorphylo
32	16	2	4	1.7759601	1.7501875	tensorphylo
32	16	3	4	1.722902	1.6365355	tensorphylo
32	16	4	4	1.6162446	1.5991025	tensorphylo
32	32	1	4	1.0399527	1.0146885	tensorphylo
32	32	2	4	1.862712	1.8299325	tensorphylo
32	32	3	4	1.838522	1.6963545	tensorphylo
32	32	4	4	2.1950785	2.11642	tensorphylo
64	2	1	4	1.175347	1.1276845	tensorphylo
64	2	2	4	1.3077852	1.1093575	tensorphylo
64	2	3	4	1.0539132	0.9738935	tensorphylo
64	2	4	4	1.3626022	1.2046825	tensorphylo
64	4	1	4	1.3432297	1.2996385	tensorphylo
64	4	2	4	1.2525254	1.0514245	tensorphylo
64	4	3	4	1.1812674	1.0387555	tensorphylo
64	4	4	4	1.5204317	1.297568	tensorphylo
64	8	1	4	1.1319157	1.0973445	tensorphylo
64	8	2	4	3.6507466	3.622063	tensorphylo
64	8	3	4	3.6878393	3.434857	tensorphylo
64	8	4	4	3.2132356	2.960774	tensorphylo
64	16	1	4	1.7078427	1.6683515	tensorphylo
64	16	2	4	3.1735435	3.131047	tensorphylo
64	16	3	4	3.6846331	3.502876	tensorphylo
64	16	4	4	4.6465628	4.801141	tensorphylo
64	32	1	4	1.9714686	1.9308745	tensorphylo
64	32	2	4	3.2019155	3.1541505	tensorphylo
64	32	3	4	3.8225735	3.7969075	tensorphylo
64	32	4	4	4.4576102	3.146996	tensorphylo
128	2	1	4	1.9937521	1.916627	tensorphylo
128	2	2	4	6.6946563	6.6277525	tensorphylo
128	2	3	4	7.0259691	6.1934395	tensorphylo
128	2	4	4	26.5062212	28.546127	tensorphylo
128	4	1	4	2.4277617	2.336139	tensorphylo
128	4	2	4	2.1623974	1.9260365	tensorphylo
128	4	3	4	2.3291239	2.1230825	tensorphylo
128	4	4	4	2.5622909	2.2412035	tensorphylo
128	8	1	4	2.7192799	2.6389445	tensorphylo
128	8	2	4	2.2748112	2.0860185	tensorphylo
128	8	3	4	2.236714	2.009	tensorphylo
128	8	4	4	2.7870775	2.5102865	tensorphylo
128	16	1	4	2.919364	2.8326695	tensorphylo
128	16	2	4	2.6105274	2.398869	tensorphylo
128	16	3	4	2.3309894	2.115559	tensorphylo
128	16	4	4	2.6355292	2.3035235	tensorphylo
128	32	1	4	3.6060853	3.5264715	tensorphylo
128	32	2	4	8.1407017	8.0641055	tensorphylo
128	32	3	4	6.328227	6.181734	tensorphylo
128	32	4	4	6.3602357	6.317485	tensorphylo
256	2	1	4	4.3730149	4.140057	tensorphylo
256	2	2	4	14.3800325	14.006051	tensorphylo
256	2	3	4	13.6567843	13.3771725	tensorphylo
256	2	4	4	13.676083	11.522394	tensorphylo
256	4	1	4	4.5389993	4.3007565	tensorphylo
256	4	2	4	12.9719244	12.815329	tensorphylo
256	4	3	4	15.5014522	15.080169	tensorphylo
256	4	4	4	16.9911011	13.222664	tensorphylo
256	8	1	4	4.8191113	4.5923075	tensorphylo
256	8	2	4	13.3910428	13.2091545	tensorphylo
256	8	3	4	14.2769175	13.8508865	tensorphylo
256	8	4	4	14.0143576	12.561744	tensorphylo
256	16	1	4	5.6416738	5.4090275	tensorphylo
256	16	2	4	13.1723201	12.9288375	tensorphylo
256	16	3	4	13.7107731	13.473994	tensorphylo
256	16	4	4	16.9239636	13.924625	tensorphylo
256	32	1	4	7.4745214	7.2311905	tensorphylo
256	32	2	4	14.7809223	14.5650245	tensorphylo
256	32	3	4	15.0636665	14.763731	tensorphylo
256	32	4	4	17.7269527	14.6247615	tensorphylo
512	2	1	4	8.9645147	8.1586515	tensorphylo
512	2	2	4	32.7481063	29.501673	tensorphylo
512	2	3	4	26.9954906	26.1205465	tensorphylo
512	2	4	4	25.7341215	23.470081	tensorphylo
512	4	1	4	9.3828705	8.5899715	tensorphylo
512	4	2	4	28.7063099	26.638069	tensorphylo
512	4	3	4	26.0270788	25.13341	tensorphylo
512	4	4	4	46.6790822	42.471162	tensorphylo
512	8	1	4	10.3280312	9.4926275	tensorphylo
512	8	2	4	33.5795166	31.1715005	tensorphylo
512	8	3	4	28.4861891	27.5674775	tensorphylo
512	8	4	4	44.5953392	44.328298	tensorphylo
512	16	1	4	12.2798444	11.4982245	tensorphylo
512	16	2	4	29.5760306	28.569169	tensorphylo
512	16	3	4	29.1131242	28.1698905	tensorphylo
512	16	4	4	27.3019902	24.404184	tensorphylo
512	32	1	4	14.6179186	13.7886075	tensorphylo
512	32	2	4	11.1827295	10.2624025	tensorphylo
512	32	3	4	10.8233768	10.016013	tensorphylo
512	32	4	4	12.1754748	11.2413595	tensorphylo
1024	2	1	4	19.9077427	16.6166235	tensorphylo
1024	2	2	4	18.8282086	15.662123	tensorphylo
1024	2	3	4	19.6077416	16.6237575	tensorphylo
1024	2	4	4	21.1481608	17.940452	tensorphylo
1024	4	1	4	20.8918083	17.4586815	tensorphylo
1024	4	2	4	69.1282509	61.3008425	tensorphylo
1024	4	3	4	57.3922674	54.2253905	tensorphylo
1024	4	4	4	49.8667092	45.246903	tensorphylo
1024	8	1	4	22.7866766	19.412721	tensorphylo
1024	8	2	4	20.4512141	17.3367885	tensorphylo
1024	8	3	4	22.2964109	19.239455	tensorphylo
1024	8	4	4	84.8916972	76.528099	tensorphylo
1024	16	1	4	27.3532443	23.9347135	tensorphylo
1024	16	2	4	30.2918783	18.090553	tensorphylo
1024	16	3	4	58.4228188	55.414042	tensorphylo
1024	16	4	4	41.7847646	47.803458	tensorphylo
1024	32	1	4	30.2448103	27.040607	tensorphylo
1024	32	2	4	24.6561577	21.4376085	tensorphylo
1024	32	3	4	22.8610219	19.933954	tensorphylo
1024	32	4	4	24.0595749	20.218371	tensorphylo
32	2	1	5	0.6046024	0.5737745	tensorphylo
