ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
1024	2	1	1221.60468563188	2	3.6336045	3.630304	SEQUENTIAL_OPTIMIZED
32	4	1	9.41249478057457	2	0.209428	0.204139	SEQUENTIAL_OPTIMIZED
64	4	1	24.914494037028	2	0.5369114	0.5236315	SEQUENTIAL_OPTIMIZED
128	4	1	107.166000723385	2	0.5839179	0.5741435	SEQUENTIAL_OPTIMIZED
256	4	1	240.473399533516	2	1.0636343	1.0598705	SEQUENTIAL_OPTIMIZED
512	4	1	552.524881467367	2	1.9876021	1.965294	SEQUENTIAL_OPTIMIZED
1024	4	1	1337.08725947439	2	4.2678458	4.2624215	SEQUENTIAL_OPTIMIZED
32	8	1	9.71777024543753	2	0.3212965	0.315577	SEQUENTIAL_OPTIMIZED
64	8	1	34.1672775942086	2	0.4047356	0.399791	SEQUENTIAL_OPTIMIZED
128	8	1	98.4504399574107	2	0.674286	0.6649175	SEQUENTIAL_OPTIMIZED
256	8	1	236.750226973923	2	1.2888678	1.2821315	SEQUENTIAL_OPTIMIZED
512	8	1	595.962181291009	2	2.3599354	2.340526	SEQUENTIAL_OPTIMIZED
1024	8	1	1165.70659936776	2	5.3584417	5.2772125	SEQUENTIAL_OPTIMIZED
32	16	1	10.1386769090695	2	0.3490453	0.3397875	SEQUENTIAL_OPTIMIZED
64	16	1	40.1699437493837	2	0.7384838	0.730415	SEQUENTIAL_OPTIMIZED
128	16	1	95.4278231769134	2	0.8457193	0.841033	SEQUENTIAL_OPTIMIZED
256	16	1	258.911429509109	2	1.4117776	1.3929135	SEQUENTIAL_OPTIMIZED
512	16	1	598.564509221983	2	3.1574428	3.14634	SEQUENTIAL_OPTIMIZED
1024	16	1	1222.58192804391	2	6.8969544	6.9228705	SEQUENTIAL_OPTIMIZED
32	32	1	11.6651646613975	2	0.8663956	0.8611025	SEQUENTIAL_OPTIMIZED
64	32	1	36.1300605524801	2	0.9169732	0.9071455	SEQUENTIAL_OPTIMIZED
128	32	1	109.66545489928	2	1.9496074	1.922695	SEQUENTIAL_OPTIMIZED
256	32	1	261.19710683587	2	2.1327134	2.114862	SEQUENTIAL_OPTIMIZED
512	32	1	538.088294938494	2	4.6522044	4.6631145	SEQUENTIAL_OPTIMIZED
1024	32	1	1161.97851414656	2	10.9908618	10.9593	SEQUENTIAL_OPTIMIZED
