ntips	nstates	rep	likelihood	mean_time	median_time	method
64	128	4	NA	NA	NA	diversitree
128	128	4	-411.320584882415	240.336014	239.190761	tensorphylo
128	128	4	NA	NA	NA	diversitree
256	128	4	-818.062152289756	514.7673984	509.9700745	tensorphylo
256	128	4	NA	NA	NA	diversitree
512	128	4	-2212.30852467338	1083.6797043	1080.0227175	tensorphylo
512	128	4	NA	NA	NA	diversitree
1024	128	4	-3766.79053347805	2033.6229067	2031.7248445	tensorphylo
1024	128	4	NA	NA	NA	diversitree
32	2	5	-63.2977792938862	1.1612348	1.1510135	tensorphylo
32	2	5	-41.9768418303295	0.580601	0.5716015	diversitree
64	2	5	-135.788114429697	2.0012592	1.9872495	tensorphylo
64	2	5	-74.4873506603628	1.1557613	1.1425265	diversitree
128	2	5	-300.955116337671	4.4595044	4.51615	tensorphylo
128	2	5	-165.492735045972	2.32183	2.30953	diversitree
256	2	5	-493.241978840482	8.3847337	8.3287195	tensorphylo
256	2	5	-348.437224527468	4.6883541	4.661085	diversitree
512	2	5	-1167.14017138116	17.3574607	17.414586	tensorphylo
512	2	5	-673.386763418678	9.7490456	9.4856165	diversitree
1024	2	5	-2305.04946394331	34.5151817	34.4995115	tensorphylo
1024	2	5	-1371.10805261411	20.4259991	18.917236	diversitree
32	4	5	-48.0049938071508	1.17547	1.1877085	tensorphylo
32	4	5	-29.2236167804907	0.7503984	0.7457285	diversitree
64	4	5	-129.440182270104	2.7083083	2.7190995	tensorphylo
64	4	5	-83.1892410633884	1.5654702	1.5714685	diversitree
128	4	5	-342.685433684697	5.0399209	5.0168215	tensorphylo
128	4	5	-164.525134277199	3.0243035	3.0262715	diversitree
256	4	5	-516.954525530464	10.4480423	10.4447705	tensorphylo
256	4	5	-332.668239757277	6.4329902	6.432736	diversitree
512	4	5	-1626.35545714158	23.1242009	23.1700225	tensorphylo
512	4	5	-694.745627200874	13.5269496	13.1449075	diversitree
1024	4	5	-1950.81934316472	39.0732337	38.873248	tensorphylo
1024	4	5	-1286.34651995877	27.4649201	26.274153	diversitree
32	8	5	-87.8143106708962	2.6126635	2.600835	tensorphylo
32	8	5	-44.8304416120691	1.7662062	1.756768	diversitree
64	8	5	-173.427642727635	4.1820041	4.18446	tensorphylo
64	8	5	-76.8377826827816	3.4629871	3.4635365	diversitree
128	8	5	-473.013310133034	8.8151107	8.752434	tensorphylo
128	8	5	-183.6900275102	7.2272135	7.2059755	diversitree
256	8	5	-576.688501569538	15.9746004	15.974584	tensorphylo
256	8	5	-334.841471518828	14.4207127	14.219538	diversitree
512	8	5	-1269.81336407206	32.7226412	32.633007	tensorphylo
512	8	5	-659.310597417948	28.6892744	27.599437	diversitree
1024	8	5	-2982.67526925898	71.1772956	70.9500695	tensorphylo
1024	8	5	-1345.82174171521	58.9609233	55.314781	diversitree
32	16	5	-99.25834652968	4.9926233	4.9899665	tensorphylo
32	16	5	-49.1506916473976	7.9120037	7.914804	diversitree
64	16	5	-160.247856659301	6.796119	6.7835525	tensorphylo
64	16	5	-73.2305318288469	14.4451077	14.3750715	diversitree
128	16	5	-354.871763893842	14.2394968	14.257422	tensorphylo
128	16	5	-162.674926702309	30.4596954	29.4178075	diversitree
256	16	5	-778.921994963063	31.8597388	32.01895	tensorphylo
256	16	5	-340.671108595586	61.6880998	59.266033	diversitree
512	16	5	-1031.00210764556	49.6925248	49.85149	tensorphylo
512	16	5	-620.482774395379	120.1216934	121.2781845	diversitree
1024	16	5	-2964.76189493183	107.7082013	107.474038	tensorphylo
1024	16	5	-1242.26514356438	241.9989822	242.0893995	diversitree
32	31	5	-126.795609790898	9.4294342	9.40048	tensorphylo
32	31	5	-37.082075450044	41.8491961	40.592952	diversitree
64	31	5	-229.43995349705	20.805491	20.5781255	tensorphylo
64	31	5	-96.083369357741	90.2854358	90.9932065	diversitree
128	31	5	-357.76840096318	30.7858258	30.6053725	tensorphylo
128	31	5	-164.710389593637	172.6469697	172.1320425	diversitree
256	31	5	-783.722001082023	67.7718561	67.7532585	tensorphylo
256	31	5	-315.878117960398	343.2686624	342.0959435	diversitree
512	31	5	-1836.97647920363	142.7498968	142.556426	tensorphylo
512	31	5	-695.659597741574	708.1727952	707.2234115	diversitree
1024	31	5	-2795.63135040981	271.2955896	271.9087405	tensorphylo
1024	31	5	-1337.0834106866	1393.8505878	1392.84052	diversitree
32	64	5	-106.10625208822	22.9812134	22.980582	tensorphylo
32	64	5	NA	NA	NA	diversitree
64	64	5	-171.385392574029	40.8902184	40.672328	tensorphylo
64	64	5	NA	NA	NA	diversitree
128	64	5	-459.713802228172	94.192498	93.72026	tensorphylo
128	64	5	NA	NA	NA	diversitree
256	64	5	-893.722067008988	163.1106772	163.0410715	tensorphylo
256	64	5	NA	NA	NA	diversitree
512	64	5	-1808.9668707604	343.681475	341.909783	tensorphylo
